unit,airpol,src_nfr,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
T,NH3,NFR1A_TRA,NL	3805 	4443 	4370 	4411 	4102 	4098 	4054 	4303 	4439 	4792 	4925 	5068 	5215 	5367 	5408 	5274 	5239 	5189 	5073 	4770 	4346 	3857 	3550 	3245 	2899 	2413 	1979 	1805 	1555 	1268 	966 
T,NH3,NFR1A_TRA,NO	427 	498 	540 	600 	664 	742 	854 	1004 	1165 	1320 	1475 	1617 	1754 	1873 	1913 	1965 	1946 	1979 	2009 	1993 	1892 	1708 	1510 	1279 	1052 	820 	541 	432 	344 	263 	182 
T,NH3,NFR1A_TRA,PL	3661 	4177 	4364 	4580 	4476 	4360 	4491 	4901 	5275 	5682 	6019 	6260 	6312 	6389 	6203 	6030 	5782 	5249 	3644 	3497 	3007 	3173 	2442 	1991 	1407 	1108 	801 	508 	301 	139 	125 
T,NH3,NFR1A_TRA,PT	686 	879 	883 	914 	953 	1000 	1018 	1035 	1083 	1202 	1352 	1433 	1456 	1557 	1668 	1792 	1404 	1455 	1505 	1412 	1463 	1296 	1143 	974 	814 	639 	471 	286 	75 	68 	63 
T,NH3,NFR1A_TRA,RO	956 	1008 	1016 	1040 	1033 	985 	1018 	968 	997 	922 	939 	890 	789 	732 	697 	761 	817 	881 	964 	1077 	918 	970 	1248 	1357 	1357 	1085 	1341 	1252 	1493 	2349 	2967 
T,NH3,NFR1A_TRA,SE	1359 	1536 	1641 	1832 	1929 	2054 	2245 	2466 	2706 	2832 	3348 	3658 	3912 	3987 	4212 	4403 	4500 	4576 	4605 	4710 	4691 	4523 	4090 	3899 	3385 	3274 	2664 	2806 	2144 	1567 	1786 
T,NH3,NFR1A_TRA,SI	188 	246 	266 	272 	289 	302 	325 	361 	414 	478 	515 	555 	635 	631 	655 	674 	490 	543 	549 	563 	565 	511 	456 	451 	371 	251 	158 	67 	21 	20 	21 
T,NH3,NFR1A_TRA,SK	339 	389 	386 	358 	404 	346 	370 	429 	418 	411 	470 	470 	503 	490 	460 	526 	458 	456 	421 	432 	349 	406 	260 	189 	127 	88 	53 	32 	24 	24 	26 
T,NH3,NFR1A_TRA,TR	785 	621 	515 	583 	925 	1011 	952 	1082 	1258 	1531 	1947 	1787 	1962 	2108 	2424 	2508 	2558 	1110 	785 	513 	558 	584 	567 	493 	398 	345 	380 	2 	1 	1 	1 
T,NH3,NFR3_AGR,AT	61459 	61786 	62937 	64076 	63388 	62436 	61710 	60814 	60625 	60246 	60533 	60611 	58997 	59375 	57967 	57606 	57658 	58079 	58104 	59240 	59630 	61187 	62850 	62696 	62886 	64025 	63937 	64334 	64315 	66873 	66609 
T,NH3,NFR3_AGR,BE	63706 	63719 	64806 	65532 	67182 	67203 	66919 	67656 	68600 	68200 	69680 	69499 	69077 	70893 	73701 	74328 	75527 	80606 	84897 	87392 	89657 	129073 	134222 	132670 	132776 	132358 	129321 	129052 	126499 	125684 	127673 
T,NH3,NFR3_AGR,BG	37147 	36257 	36664 	36640 	37336 	36096 	35288 	34623 	32922 	31772 	31300 	33213 	33494 	34317 	34674 	34909 	35925 	35342 	33595 	32768 	36278 	38670 	35403 	41345 	43891 	43765 	53394 	62132 	91218 	84474 	98022 
T,NH3,NFR3_AGR,CH	50113 	50217 	51004 	51435 	51436 	51510 	52069 	51495 	51951 	52284 	53016 	53086 	54586 	54901 	54180 	53691 	52839 	53109 	54081 	54804 	54458 	55223 	55969 	56480 	58911 	60541 	60968 	61518 	62508 	63416 	64679 
T,NH3,NFR3_AGR,CY	8031 	7713 	7546 	7419 	7318 	7039 	8206 	8033 	8611 	9121 	9227 	9101 	9320 	9752 	9718 	9413 	10252 	10549 	11117 	10486 	9623 	9572 	9632 	9512 	9334 	8929 	8752 	8748 	8498 	7899 	7827 
T,NH3,NFR3_AGR,CZ	60362 	63957 	66805 	71618 	72183 	71849 	65118 	63281 	61248 	61392 	61423 	62923 	67611 	69664 	69643 	71093 	73003 	76195 	77304 	77962 	77374 	80355 	82379 	87550 	90183 	86772 	89901 	100747 	113680 	130190 	138921 
T,NH3,NFR3_AGR,DE	512275 	548290 	566744 	591454 	607601 	612042 	612059 	602613 	594377 	586293 	579219 	574877 	571026 	566873 	556170 	560478 	551176 	565258 	566062 	578734 	572088 	573312 	574860 	568185 	576894 	571286 	574358 	595990 	605654 	609651 	687785 
