unit,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
PC_GDP,FR	0.5 	0.5 	0.5 	0.5 	0.5 	0.4 	0.4 	0.4 	0.4 	0.5 p	: 	: 
PC_GDP,HR	: 	: 	: 	: 	0.5 	0.5 	0.5 	0.5 	0.5 	0.4 	: 	: 
PC_GDP,HU	: 	: 	: 	: 	1.3 	1.5 	0.4 	0.4 	0.5 	0.7 	: 	: 
PC_GDP,IE	0.3 	0.2 	0.2 	0.2 	0.3 	0.2 	0.2 	0.1 	0.2 	0.2 	: 	: 
PC_GDP,IS	: 	: 	: 	: 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.3 	: 
PC_GDP,IT	0.4 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 b	0.3 b	0.3 	0.3 	: 	: 
PC_GDP,LT	1.5 	1.2 	1.1 	0.7 	0.8 	0.6 	0.5 	0.3 	0.3 	0.4 	: 	: 
PC_GDP,LU	0.2 	0.2 	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 	0.4 	0.4 	: 	: 
PC_GDP,LV	0.4 	0.4 	0.7 	0.8 	0.6 	0.6 	0.3 	0.3 	0.3 	0.4 	: 	: 
PC_GDP,MT	: 	: 	: 	0.2 	0.3 	0.7 	0.1 	0.1 	0.2 	0.2 	: 	: 
PC_GDP,NL	: 	: 	: 	0.6 	0.6 	0.7 	0.4 	0.4 	0.4 	0.4 	: 	: 
PC_GDP,NO	: 	: 	: 	0.3 	0.3 b	0.4 b	0.3 b	0.3 	0.3 	0.4 	0.5 	: 
PC_GDP,PL	0.8 	0.8 	0.7 	0.7 	0.8 b	0.8 	0.3 	0.3 	0.5 	0.5 	: 	: 
PC_GDP,PT	: 	: 	: 	: 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 	: 	: 
PC_GDP,RO	0.9 	0.9 	0.7 	0.7 	0.8 	1 	0.4 	0.2 	0.3 	0.3 	0.3 	: 
PC_GDP,SE	0.3 	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	: 	: 
PC_GDP,SI	0.8 	0.9 	1.1 	1 	1.3 	1.3 	0.7 	0.5 	0.7 	0.6 	: 	: 
PC_GDP,SK	0.4 	0.4 	0.5 	0.4 	0.4 	0.8 	0.4 	0.4 	0.4 	0.3 p	: 	: 
PC_GDP,TR	: 	: 	: 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	0.2 	: 
PC_GDP,UK	0.3 	0.2 	0.3 	0.3 	0.3 e	0.4 b	0.3 b	0.3 	: 	: 	: 	: 
