freq,unit,na_item,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CLV10_MEUR,B1GQ,EE	: 	: 	: 	: 	: 	7783.2 	8168.0 	9233.9 	9634.6 	9593.7 	10561.4 	11195.5 	11953.6 	12862.1 	13737.2 	15045.9 	16515.2 	17766.9 	16855.1 	14389.4 	14741.1 	15811.8 	16322.2 	16560.2 	17058.9 	17375.0 	17923.3 	18961.4 	19679.0 	20414.9 	20302.4 	21929.4 	21647.0 
A,CLV10_MEUR,B1GQ,EL	: 	: 	: 	: 	: 	157435.3 	161941.3 	169203.0 	175793.3 	181194.8 	188297.2 	196076.9 	203768.7 	215576.2 	226486.5 	227843.5 	240722.2 	248602.8 	247769.5 	237113.6 	224124.0 b	201377.0 	187106.0 	182398.4 	183266.1 	182906.7 	182015.6 	184003.5 	187073.5 	190598.6 	173437.0 p	188065.4 p	199187.1 p
A,CLV10_MEUR,B1GQ,ES	: 	: 	: 	: 	: 	711968.9 	730911.2 	757973.2 	791271.7 	826804.2 	870177.9 	904402.0 	929100.7 	956805.9 	986684.4 	1022719.0 	1064677.9 	1103056.8 	1112841.6 	1070964.2 	1072709.0 	1063973.0 	1032490.9 	1018001.5 	1032210.5 	1071832.1 	1104392.0 	1137256.0 	1163236.3 	1186314.5 	1051959.2 p	1110023.1 p	1170538.6 p
A,CLV10_MEUR,B1GQ,EU15	: 	: 	: 	: 	: 	9047854.2 	9206021.3 	9480121.2 	9776188.6 	10073515.5 	10454902.6 	10686302.3 	10808195.3 	10932470.9 	11185354.0 	11397336.2 	11753280.9 	12077961.5 	12103278.4 	11575104.6 	11831454.4 	12025661.7 	11963575.2 	11992140.3 	12191855.7 	12453099.3 	12684094.8 	12992917.9 	13208367.1 	13409289.9 	: 	: 	: 
A,CLV10_MEUR,B1GQ,EU27_2020	: 	: 	: 	: 	: 	8358666.1 	8505946.2 	8732113.8 	8994416.5 	9259747.6 	9617578.7 	9822761.4 	9926285.4 	10011712.6 	10264759.6 	10457471.2 	10819409.0 	11158294.5 	11229656.7 	10746632.6 	10980484.9 	11185603.7 	11104323.8 	11094200.4 	11270466.8 	11527820.1 	11755740.9 	12089001.2 	12338691.6 	12561794.7 	11857485.4 	12498645.2 	12938805.2 
A,CLV10_MEUR,B1GQ,EU28	: 	: 	: 	: 	: 	9683873.1 	9864346.3 	10159496.3 	10476674.0 	10791942.4 	11202211.5 	11453638.1 	11597764.4 	11749279.6 	12041382.1 	12290136.9 	12698941.2 	13079468.6 	13142240.6 	12580707.2 	12852660.3 	13081662.6 	13027369.5 	13061858.2 	13295012.3 	13600330.9 	13863061.7 	14231410.1 	14507664.5 	14760358.3 	: 	: 	: 
A,CLV10_MEUR,B1GQ,FI	125598.4 	118205.3 	114310.8 	113554.1 	118054.3 	123032.5 	127544.3 	135622.7 	143023.9 	149287.7 	157906.6 	162028.0 	164794.1 	168096.2 	174806.8 	179666.1 	186902.0 	196806.6 	198349.5 	182333.9 	188143.0 	192936.3 	190239.9 	188524.5 	187836.6 	188857.7 	194167.4 	200366.0 	202649.6 	205131.6 	200300.8 	206402.9 	210703.9 
A,CLV10_MEUR,B1GQ,FR	1430101.4 	1445091.3 	1468203.3 	1458973.2 	1493381.8 	1524841.8 	1546387.7 	1582515.9 	1639307.0 	1695393.8 	1761915.5 	1796867.0 	1817270.9 	1832230.0 	1884077.6 	1915413.9 	1962328.6 	2009909.9 	2015034.1 	1957135.9 	1995289.0 	2039039.7 	2045424.7 	2057213.0 	2076883.7 	2099997.6 	2123002.3 	2171649.2 	2212151.9 	2252921.3 	2083040.6 	2217088.7 p	2271512.8 p
A,CLV10_MEUR,B1GQ,HR	: 	: 	: 	: 	: 	30197.7 	32022.0 	34000.5 	34765.9 	34473.7 	35493.7 	36598.5 	38729.6 	40896.6 	42607.2 	44443.0 	46628.8 	48942.0 	49921.7 	46330.6 	45763.6 	45724.0 	44657.9 	44480.2 	44289.2 	45406.3 	47022.5 	48627.1 	49989.0 	51699.2 	47288.3 	53476.2 p	56803.4 p
A,CLV10_MEUR,B1GQ,HU	: 	: 	: 	: 	: 	69951.8 	70009.5 	72210.0 	75026.2 	77330.2 	80794.0 	84085.6 	88072.4 	91660.7 	96247.9 	100381.1 	104342.2 	104631.6 	105682.0 	98709.3 	99771.6 	101634.2 	100363.6 	102172.6 	106496.8 	110445.0 	112875.9 	117697.9 	124009.3 	130041.4 	124143.3 	133081.6 	139173.9 p
A,CLV10_MEUR,B1GQ,IE	: 	: 	: 	: 	: 	80756.2 	86715.7 	96273.2 	104712.7 	115738.8 	126622.3 	133340.7 	141206.9 	145463.0 	155337.7 	164253.4 	172446.1 	181603.2 	173460.0 	164620.9 	167391.4 	168787.2 	168777.8 	170677.7 	185440.2 	230632.8 	235260.9 	256446.9 	278315.5 	293458.5 	311607.5 	353949.5 	396315.8 
A,CLV10_MEUR,B1GQ,IS	: 	: 	: 	: 	: 	6194.6 	6477.6 	6851.4 	7355.9 	7652.7 	8034.2 	8356.6 	8403.4 	8583.4 	9253.1 	9819.8 	10440.2 	11322.9 	11573.0 	10686.1 	10383.4 	10575.0 	10687.5 	11174.1 	11362.6 	11866.7 	12614.8 	13143.9 	13786.6 	14035.4 	13019.0 	13583.2 	14458.6 
A,CLV10_MEUR,B1GQ,IT	: 	: 	: 	: 	: 	1410521.1 	1428389.4 	1454532.0 	1480867.9 	1504942.8 	1561934.3 	1592413.5 	1596457.3 	1598670.4 	1621429.0 	1634689.8 	1663961.2 	1688705.5 	1672460.0 	1584138.4 	1611279.4 	1622676.5 	1574306.1 	1545322.1 	1545251.8 	1557278.5 	1577421.4 	1603730.5 	1618578.0 	1626399.0 	1480362.6 	1583792.0 	1641991.4 
A,CLV10_MEUR,B1GQ,LT	: 	: 	: 	: 	: 	14597.7 	15350.7 	16626.4 	17869.4 	17665.4 	18318.2 	19513.7 	20831.2 	23032.2 	24545.3 	26443.2 	28403.7 	31558.7 	32383.7 	27578.4 	28033.8 	29726.8 	30869.5 	31965.3 	33096.0 	33766.0 	34616.5 	36099.0 	37540.6 	39276.8 	39268.2 	41616.7 	42402.4 
A,CLV10_MEUR,B1GQ,LU	: 	: 	: 	: 	: 	24026.0 	24361.9 	25682.2 	27396.4 	29636.1 	31692.3 	32666.6 	33720.3 	34603.5 	36067.9 	36963.4 	39187.4 	42361.1 	42233.9 	40866.0 	42402.7 	42845.5 	43552.4 	44933.8 	46112.5 	47159.1 	49506.8 	50158.9 	50770.5 	51948.3 	51534.1 	54163.6 	55002.4 p
A,CLV10_MEUR,B1GQ,LV	: 	: 	: 	: 	: 	9634.4 	9883.8 	10757.2 	11438.8 	11754.0 	12421.2 	13206.6 	14142.7 	15334.0 	16604.2 	18384.3 	20585.2 	22631.8 	21896.4 	18774.0 	17937.5 	18399.2 	19694.9 	20090.3 	20472.5 	21267.9 	21771.7 	22492.8 	23390.7 	23991.8 	23440.4 	24442.9 	25118.3 
A,CLV10_MEUR,B1GQ,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2819.5 	3011.5 	3229.0 	3041.9 	3125.1 	3226.0 	3138.1 	3249.5 	3307.5 	3419.6 	3520.4 	3686.5 	3873.7 	4031.1 	3414.0 	3859.3 	4094.5 p
