Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;GUT003__Befoerderte_Gueter__t;GUT004__Befoerderungsleistung__tkm
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;45116504;20693641696
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;52089106;20950670014
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;16436579;11143442671
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;355714712;107316958393
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;257201700;58995584972
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;46255587;20971304978
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;56322697;23015946306
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;14957057;10334562425
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;374737041;113317398681
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;247116784;56325534201
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;45285775;20310417708
