Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;GUT005__Befoerderte_Guetermenge__1000_t;GUT004__Befoerderungsleistung__Mill._Tkm
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;3005104;280699
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2901152;226520
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;96683;52771
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;49878;26196
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;41997;22488
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;7269;1408
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2884479;288955
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2768884;230008
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;106718;57259
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;55366;28750
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;45096;23401
